Symbol,Series,Date,PrevClose,Open,High,Low,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IDEA,EQ,01/07/20,10.6,10.4,10.75,10.05,10.1,10.15,10.3,434164889,4470142870,285656,138874853,31.99
IDEA,EQ,02/07/20,10.15,10.2,10.45,9.75,10.05,10.05,10.1,369250291,3728337949,256078,113452387,30.73
IDEA,EQ,03/07/20,10.05,10.1,10.25,9.85,10.05,10,10.04,262034228,2631447130,169302,68206349,26.03
IDEA,EQ,06/07/20,10,10.1,10.1,9.75,9.8,9.8,9.86,231239132,2280967354,191058,85035282,36.77
IDEA,EQ,07/07/20,9.8,9.8,9.85,9.45,9.6,9.55,9.61,241560882,2321548797,182006,89888751,37.21
IDEA,EQ,08/07/20,9.55,9.6,9.9,9.1,9.25,9.3,9.56,451510804,4314942005,204984,118792514,26.31
IDEA,EQ,09/07/20,9.3,9.25,9.5,9,9.35,9.35,9.29,360689438,3350007790,191524,73983871,20.51
IDEA,EQ,10/07/20,9.35,9.2,9.9,8.75,9.8,9.75,9.39,924543604,8676891241,344587,220741765,23.88
IDEA,EQ,13/07/20,9.75,10,10.1,9.5,9.75,9.75,9.72,378800062,3683634187,195812,127421219,33.64
IDEA,EQ,14/07/20,9.75,9.65,9.7,9.3,9.3,9.35,9.49,278387341,2642471172,170582,91997037,33.05
IDEA,EQ,15/07/20,9.35,9.2,9.35,8.45,8.75,8.65,8.92,476000600,4247142919,269643,190838708,40.09
IDEA,EQ,16/07/20,8.65,8.65,8.7,7,7.8,7.85,7.78,990881582,7704162530,355248,244096663,24.63
IDEA,EQ,17/07/20,7.85,7.6,9,7.45,8.95,8.9,8.48,764117778,6480241710,263154,173705589,22.73
IDEA,EQ,20/07/20,8.9,9.4,9.7,8.25,9,9.1,9.38,1034536973,9699770801,382209,322210026,31.15
IDEA,EQ,21/07/20,9.1,8.95,8.95,8.15,8.4,8.3,8.45,644550188,5445531680,332314,236897615,36.75
IDEA,EQ,22/07/20,8.3,8.45,9.05,8.35,8.55,8.55,8.64,505621621,4370484228,264807,118892612,23.51
IDEA,EQ,23/07/20,8.55,8.9,8.9,8.5,8.55,8.6,8.67,232041998,2012004022,256236,80029014,34.49
IDEA,EQ,24/07/20,8.6,8.4,8.55,8.1,8.4,8.4,8.37,242282991,2027283971,185561,70908685,29.27
